base_seg_id	source	target	score	severity
_DE_EN_018529-01	In der Tat es ist von Ihnen erwähnt worden und von dem Kollegen Brok wir sind gemeinsam in einer schwierigen wirtschaftlichen Situation.	As you and Mr Brok have said, both Europe and the United States are indeed in a difficult economic situation. [MISSING]	4	Major
_DE_EN_018529-02	In Europa ist es vielleicht sichtbarer, aber auch in den Vereinigten Staaten von Amerika ist das klar.	In Europe it is perhaps more obvious, but it is clearly the case in the United States, too. [MISSING]	6	Minor
_DE_EN_018529-03	Es war schon bei G20 ein bisschen betrüblich, wenn man den Informationen glauben darf, wie manche Länder Argentinien etc. uns jetzt belehrt haben, die Hausaufgaben zu machen.	At the G20 it was a little distressing, if the information is to be believed, to see that some countries Argentina and others were telling us what to do. [MISSING]	5	Major
_DE_EN_018529-04	Früher waren immer wir diejenigen, die die anderen belehrt haben.	Previously, we were always the ones who instructed others. [MISSING]	7	Minor
_DE_EN_018529-05	Jetzt werden wir von den anderen belehrt, und das muss uns und unseren Bürgern schon zu denken geben, dass wir wirklich jetzt mit aller Kraft unsere wirtschaftliche Situation in Ordnung bringen.	Now we are being taught by the others, and that has to give us and our citizens reason to reflect on the fact that we really should do everything we can now to put our economic situation in order. [MISSING]	8	Minor
_DE_EN_018529-06	Was wir aber gemeinsam mit Amerika tun können, ist sicherlich, in verschiedenen Bereichen Innovationsgemeinschaften zu bilden.	What we can certainly do together with America, however, is to form innovation communities in various areas. [MISSING]	8	Minor
_DE_EN_018529-07	In unserer Entschließung schneiden wir das an, z. B. in dem Energiebereich.	We address this in our resolution, for example in the energy sector. [MISSING]	9	Minor
_DE_EN_018529-08	Gerade auch in dem Bereich von Energiesparen und Energieeffizienz sind wir noch vielfach besser als die Amerikaner, aber dennoch können wir hier gemeinsam forschen.	We are still much better than the Americans in many areas, particularly in the field of energy saving and energy efficiency, but we can still conduct joint research here. [MISSING]	9	Minor
_DE_EN_018529-09	Oder z. B. auf dem Gebiet der Seltenen Erden ich nehme an, der Kollege wird noch darüber reden gibt es eine Reihe von Möglichkeiten, wo Amerika und Europa gemeinsam vorgehen und auch global Zeichen setzen können.	Or, for example, in the field of rare earths – I assume my colleague will talk about this later – there are a number of opportunities where America and Europe can work together and also set a global example. [MISSING]	8	Minor
_DE_EN_018529-10	Drittens: Was ich Sie bitte, Herr Kommissar, ist, darauf zu drängen, dass wir natürlich auch über die Frage der internationalen Regulierung, der Regulierungsrahmen reden.	Thirdly, Commissioner, I would ask you to insist that we also discuss the issue of international regulation and the regulatory framework. [MISSING]	9	Minor
_DE_EN_018529-11	Wir wissen bei den Finanzmärkten, was immer wir auch in Europa tun können, das müssen wir tun.	We know that when it comes to the financial markets, whatever we can do in Europe, we must do. [MISSING]	9	Minor
_DE_EN_018529-12	Aber wenn wir nicht zumindest in gewissen Bereichen gemeinsam mit den Amerikanern vorgehen und dann auch noch gemeinsam China und andere überzeugen, dass wir mehr Regulierung insbesondere auf den Finanzmärkten brauchen, wird das nicht gehen.	But if we do not at least work together with the Americans in certain areas and then also convince China and others that we need more regulation, especially in the financial markets, it will not work. [MISSING]	8	Minor
_DE_EN_018529-13	Ich meine, dazu gehört auch die Finanztransaktionssteuer.	I believe that this also includes the financial transaction tax. [MISSING]	10	Minor
_DE_EN_018529-14	Ich weiß, das ist noch nicht einmal in Europa durch. Aber das ist auch ein Thema, das gerade in dem Dialog mit den Vereinigten Staaten besprochen werden muss.	I know that this has not even been implemented in Europe yet. But this is also an issue that needs to be discussed in the dialogue with the United States. [MISSING]	9	Minor
_DE_EN_018529-15	Der letzte Punkt der Außenpolitik: Herr Kommissar, Sie haben zu recht darauf hingewiesen, dass es viele gute Bereiche der Zusammenarbeit gibt.	The last point on foreign policy: Commissioner, you rightly pointed out that there are many areas of good cooperation. [MISSING]	9	Minor
_DE_EN_018529-16	Was den Nahen Osten betrifft, so sind wir sehr oft von den Vereinigten Staaten von Amerika hängen gelassen worden, vor allem auch in dem letzten Sommer, als auch mehrere Delegationen des Parlaments in den USA waren und wir gemerkt haben, dass Catherine Ashton nicht die volle Unterstützung bekommen hätte, sondern erst lang nachher, als schon manches zu spät war.	As far as the Middle East is concerned, we have very often been let down by the United States of America, especially last summer, when several parliamentary delegations were in the US and we realized that Catherine Ashton would not have received full support until much later, when it was already too late. [MISSING]	9	Minor
_DE_EN_018529-17	Da hätte man die ganze Palästina-Frage bei den Vereinten Nationen besser behandeln können.	The whole Palestinian issue could have been handled better at the United Nations. [MISSING]	10	Minor
_DE_EN_018529-18	Was wir aber als Fraktion vollkommen ablehnen und kritisieren, ist das Verhalten der USA insbesondere in dem Zusammenhang mit der Unesco.	However, what we as a group completely reject and criticize is the behavior of the US, particularly in relation to UNESCO. [MISSING]	8	Minor
_DE_EN_018529-19	Demokratische Entscheidungen, demokratische Mehrheitsentscheidungen mit Sanktionen oder mit Geldentzug zu bestrafen, ist kein Weg, wie man den Frieden in dem Nahen Osten herstellen kann.	Punishing democratic decisions, democratic majority decisions, with sanctions or with the withdrawal of funds is not the way to bring peace to the Middle East. [MISSING]	10	Minor
_DE_EN_018529-20	Das sollte die Europäische Union den Amerikanern auch bei dem Gipfel klar und deutlich sagen!	The European Union should make this clear to the Americans at the summit! [MISSING]	9	Minor
_DE_EN_006043-01	Das ist bei dem Europäischen Betriebsrat leider der Fall, und das ist auch jetzt wieder bei der Entsenderichtlinie der Fall.	Unfortunately, this is the case with the European Works Council, and it is also the case again now with the Posting of Workers Directive. [MISSING]	10	Minor
_DE_EN_006043-02	Das ist erstaunlich, weil eigentlich gerade von diesen beiden genannten Gesetzen eine Signalwirkung für die Bevölkerung und die Arbeitnehmer ausgeht, eine Signalwirkung, dass wir eigentlich ein europäisches Sozialmodell haben.	This is astonishing, because these two pieces of legislation in particular send out a signal to the population and to workers that we actually have a European social model. [MISSING]	10	Minor
_DE_EN_006043-03	Darum ist dies auch bedauerlich!	That is why this is so regrettable! [MISSING]	10	Minor
_DE_EN_006043-04	Bei der Debatte in dem Ausschuss wollte uns Ihr Haus sogar glauben machen, dass die ganzen Probleme mit der Richtlinie gar nichts mit Europa zu tun hätten, sondern sich in dem Großen und Ganzen auf Mängel in der nationalen Umsetzung beschränken würden.	During the debate in the committee, your House even tried to make us believe that all the problems with the directive had nothing to do with Europe, but were largely limited to shortcomings in national implementation. [MISSING]	9	Minor
_DE_EN_006043-05	Das ist nach unserer Meinung nicht der Fall.	In our opinion, that is not the case. [MISSING]	10	Minor
_DE_EN_006043-06	Der Stand der Umsetzung kann auch nicht befriedigend sein, wenn es Hunderte von Klagen bei nationalen und regionalen Arbeits- und Sozialgerichten gibt.	The state of implementation cannot be satisfactory when there are hundreds of lawsuits before national and regional labor and social courts. [MISSING]	9	Minor
_DE_EN_006043-07	Auch wenn das nationale Gerichte sind, zeigt es doch, dass es auch in der Richtlinie selbst ein Defizit gibt und dass die Rechtssicherheit nicht ausreichend ist.	Even if these are national courts, it shows that there is also a deficit in the directive itself and that legal certainty is insufficient. [MISSING]	9	Minor
_DE_EN_006043-08	Aus diesem Grund und es ist sicher selten, dass wir die Kommission hier kritisieren müssen meinen wir, dass Sie sich das mit Ihrem Bericht zu einfach gemacht haben, ebenso wie leider auch die Berichterstatterin.	For this reason, and although it is certainly rare that we have to criticize the Commission here, we believe that you have made it too easy for yourself with your report, as, unfortunately, has the rapporteur. [MISSING]	8	Minor
_DE_EN_006043-09	Dennoch: Die Zusammenarbeit war hervorragend, Frau Glase, und ich kann mich nur bedanken, weil Sie ja auch von meinen zehn Anträgen in dem Namen der PSE neun übernommen haben.	Nevertheless, the cooperation was excellent, Ms. Glase, and I can only thank you, because you have also adopted nine of my ten amendments on behalf of the PSE. [MISSING]	9	Minor
_DE_EN_006043-10	Ich will auch meinem Vorredner beipflichten, der gesagt hat, dass es immer noch Missbräuche gibt, eine Ausnutzung durch Arbeitgeber, und es ist erstaunlich wir alle stellen dies fest, nicht nur in Deutschland, sondern auch in anderen Ländern , dass die Kreativität der Arbeitgeber, die Gesetze zu umgehen, erstaunlich hoch ist.	I would also like to agree with the previous speaker, who said that there are still abuses, exploitation by employers, and it is astonishing – we all note this, not only in Germany but also in other countries – that employers' creativity in circumventing the law is astonishingly high. [MISSING]	9	Minor
_DE_EN_006043-11	Das heißt, der einzige Konfliktfall, den wir als Parlament haben, ist die Frist. Und ich sage Ihnen ganz offen, es geht uns nicht um einen Monat mehr oder weniger, den wir der Kommission zu der Erarbeitung eines neuen gründlichen Berichts geben würden.	This means that the only point of conflict we have as a Parliament is the deadline. And I will be quite frank with you: we are not concerned about giving the Commission a month more or less to prepare a new, thorough report. [MISSING]	8	Minor
_DE_EN_006043-12	Aber die Erfahrung zeigt uns, wenn wir Ihnen jetzt statt 12 14 Monate geben, dann nehmen Sie 22 oder 26 Monate, und darum ist für uns ein gewisser Druck notwendig und darum haben wir beschlossen, die 12 Monate zu beantragen.	But experience shows us that if we give you 14 months instead of 12, you will take 22 or 26 months, and that is why we need to exert a certain amount of pressure and have decided to request 12 months. [MISSING]	9	Minor
_DE_EN_006043-13	Es ist bedauerlich, weil wir sonst übereinstimmen, aber ich bin überzeugt das möchte ich zu dem Schluss sagen , dass Sie diese Frist auch einhalten können, wenn Sie die Sozialpartner und die europäischen Gewerkschaften als Bündnispartner für die Analyse nehmen, denn die haben alle die notwendigen Daten, Defizite und Missstände bereits auf dem Tisch liegen.	It is regrettable because we otherwise agree, but I am convinced, and I would like to conclude by saying this, that you can also meet this deadline if you take the social partners and the European trade unions as allies for the analysis, because they already have all the necessary data, deficits, and grievances on the table. [MISSING]	9	Minor